taskId;deviceId;datacenterId;hostId;vmId;vmType;taskType;taskLenght;taskInputSize;taskOutputSize;taskCreationTime;taskStartTime;taskFinishedUploadTime;taskStartedDownloadTime;taskEndTime;status;netDelay;wlanDelay;manDelay;wanDelay;gsmDelay
1;1277;1003;0;0;1;3;28779;4;893;26.54155037083882;26.54155037083882;31.543116489113718;9631.4176528524;9636.445598925553;delay_above_the_limit;10.029512191427461;0.027169382323288638;10.002342809104174;0.0;0.0
2;961;1003;0;0;1;2;144553;1379;57;30.717314809681753;30.717314809681753;30.75908357024342;null;null;unfinished_TLE;0.0417687605616667;0.0417687605616667;0.0;0.0;0.0
3;287;1003;0;0;1;2;74896;2173;7;65.33454541022832;65.33454541022832;70.40180874773705;null;null;unfinished_TLE;5.067263337508739;0.06581835873857995;5.0014449787701585;0.0;0.0
4;986;1003;0;0;1;3;11282;26;19;126.25098642964016;126.25098642964016;131.253219344452;2983.3890510962165;2988.390524437875;delay_above_the_limit;10.003706256469897;0.0013630124911348815;10.00234324397876;0.0;0.0
5;25;1003;0;0;1;3;8692;34;204;145.29853671328195;145.29853671328195;150.30101194142551;2002.361227463584;2007.368304462294;delay_above_the_limit;10.009552226853522;0.0072088216197800405;10.002343405233741;0.0;0.0
6;357;1003;0;0;1;3;3163;8;1091;161.125477559213;161.125477559213;166.12716526902838;640.4355359412466;645.4694792693601;COMPLETED;10.035631037928923;0.03328779395016077;10.00234324397876;0.0;0.0
7;847;1003;0;1;1;0;387;41;41;181.08958994755062;181.08958994755062;186.09227719985947;238.6969332533871;243.6990729500818;delay_above_the_limit;10.004826949003595;0.0024837116505124508;10.002343237353083;0.0;0.0
8;142;1003;0;1;1;0;172;41;41;209.97069139756184;209.97069139756184;209.97193325338708;242.26727678214604;242.26851863797128;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
9;847;1003;0;1;1;0;156;41;41;214.08958994755062;214.08958994755062;219.09227678214603;248.65894386652616;253.66108356984657;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
10;142;1003;0;1;1;0;290;41;41;242.97069139756184;242.97069139756184;242.97193325338708;290.4339434488127;290.43518530463797;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
11;847;1003;0;1;1;0;326;41;41;247.08958994755062;247.08958994755062;252.09227678214603;326.292276782146;331.2944164854664;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
12;142;1003;0;1;1;0;169;41;41;275.97069139756184;275.97069139756184;275.9719332533871;327.1965820996426;327.19782395546787;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
13;847;1003;0;1;1;0;148;41;41;280.0895899475506;280.0895899475506;285.09227678214603;334.0206765694119;339.02281627273226;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
14;139;1003;0;1;1;3;11519;11;1685;289.0627012553903;289.0627012553903;294.0644798327051;4299.6462446399255;4304.698179732922;delay_above_the_limit;10.05371367031131;0.051370426332550206;10.00234324397876;0.0;0.0
15;1177;1003;0;1;1;0;147;41;41;295.6272281806671;295.6272281806671;300.62991543297596;358.592276782146;363.59441648546635;delay_above_the_limit;10.004826955629273;0.0024837116505124508;10.00234324397876;0.0;0.0
16;142;1003;0;1;1;0;368;41;41;308.97069139756184;308.97069139756184;308.9719332533871;491.8299154329759;491.83115728880114;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
17;847;1003;0;1;1;0;354;41;41;313.0895899475506;313.0895899475506;318.09227678214603;494.25491543297596;499.25705513629634;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
18;622;1003;0;1;1;1;2161;4;247;323.135776682929;323.135776682929;328.13734323607855;1224.161227463584;1229.169607057765;delay_above_the_limit;10.009946147330542;0.007602580783885673;10.002343566546656;0.0;0.0
19;1177;1003;0;1;1;0;176;41;41;328.6272281806671;328.6272281806671;333.62991543297596;430.5052665867203;435.5074062900407;delay_above_the_limit;10.004826955629273;0.0024837116505124508;10.00234324397876;0.0;0.0
20;142;1003;0;1;1;0;153;41;41;341.97069139756184;341.97069139756184;341.9719332533871;430.93824876630924;430.9394906221345;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
21;847;1003;0;1;1;0;374;41;41;346.0895899475506;346.0895899475506;351.09227678214603;527.0299150152625;532.0320547185829;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
22;1177;1003;0;1;1;0;161;41;41;361.6272281806671;361.6272281806671;366.62991543297596;466.8885999200537;471.8907396233741;delay_above_the_limit;10.004826955629273;0.0024837116505124508;10.00234324397876;0.0;0.0
23;142;1003;0;1;1;0;138;41;41;374.97069139756184;374.97069139756184;374.9719332533871;463.7382487663092;463.73949062213444;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
24;206;1003;0;1;1;3;16198;10;1997;377.5565367194289;377.5565367194289;382.5582845898638;6738.029585153073;6743.090970466008;delay_above_the_limit;10.06313318336993;0.060790357104615715;10.002342826265314;0.0;0.0
25;847;1003;0;1;1;0;148;41;41;379.0895899475506;379.0895899475506;384.09227678214603;475.1882487663093;480.1903884696297;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
26;73;1003;0;1;1;2;37950;658;45;379.1113845118199;379.1113845118199;384.1327597621271;null;null;unfinished_TLE;5.021375250307197;0.019930271537038934;5.0014449787701585;0.0;0.0
27;1354;1003;0;1;1;2;129572;1072;1740;383.2319051073496;383.2319051073496;388.26582216356024;null;null;unfinished_TLE;5.033917056210713;0.03246998645547985;5.001447069755233;0.0;0.0
28;1107;1003;1;2;1;2;99282;1250;351;390.9030428631521;390.9030428631521;390.9409043212392;null;null;unfinished_TLE;0.037861458087080045;0.037861458087080045;0.0;0.0;0.0
29;1177;1003;1;2;1;0;347;41;41;394.6272281806671;394.6272281806671;399.62991543297596;538.4650448988239;543.4671846021442;delay_above_the_limit;10.004826955629273;0.0024837116505124508;10.00234324397876;0.0;0.0
30;494;1003;1;2;1;0;293;41;41;400.5607705569114;400.5607705569114;400.56201241273664;515.8044121294163;515.8056539852415;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
31;142;1003;1;2;1;0;297;41;41;407.97069139756184;407.97069139756184;412.97337823215724;555.7261787387408;560.7283184420612;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
32;847;1003;1;2;1;0;131;41;41;412.0895899475506;412.0895899475506;412.09083180337586;465.55749847004256;465.5587403258678;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
33;1177;1003;1;2;1;0;335;41;41;427.6272281806671;427.6272281806671;432.6299150152625;607.4536790794033;612.4558187827237;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
34;605;1003;1;2;1;2;38045;3600;139;431.70951264275834;431.70951264275834;436.8199990385328;null;null;unfinished_TLE;5.110486395774396;0.10904099929079053;5.001445396483605;0.0;0.0
35;494;1003;1;2;1;0;301;41;41;433.5607705569114;433.5607705569114;433.56201241273664;590.7877454627497;590.788987318575;delay_above_the_limit;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
36;142;1003;1;3;1;0;441;41;41;440.97069139756184;440.97069139756184;445.9733790678257;657.6761787387408;662.6783184420611;delay_above_the_limit;10.004827373584295;0.0024837116505124508;10.002343661933782;0.0;0.0
37;847;1003;1;3;1;0;153;41;41;445.0895899475506;445.0895899475506;445.09083180337586;470.93701241273664;470.9382542685619;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
38;114;1003;1;3;1;0;155;41;41;458.46515857081215;458.46515857081215;463.46784540540756;524.4120124127365;529.4141521160569;delay_above_the_limit;10.004826537915827;0.0024837116505124508;10.002342826265314;0.0;0.0
