taskId;deviceId;datacenterId;hostId;vmId;vmType;taskType;taskLenght;taskInputSize;taskOutputSize;taskCreationTime;taskStartTime;taskFinishedUploadTime;taskStartedDownloadTime;taskEndTime;status;netDelay;wlanDelay;manDelay;wanDelay;gsmDelay
1;287;1000;4;8;2;2;74896;2173;7;65.33454541022832;65.33454541022832;66.1741910183442;815.1269516473319;815.1296564422039;COMPLETED;0.8423504029878709;0.0;0.0;0.8423504029878709;0.0
2;25;1000;4;9;2;3;8692;34;204;145.29853671328195;145.29853671328195;145.3116742883744;232.22856875335242;232.30739420390725;COMPLETED;0.09196302564729966;0.0;0.0;0.09196302564729966;0.0
3;357;1000;4;10;2;3;3163;8;1091;161.125477559213;161.125477559213;161.12856875335243;192.75856875335242;193.18013035411377;COMPLETED;0.4246527949007661;0.0;0.0;0.4246527949007661;0.0
4;142;2;2;4;1;0;172;41;41;209.97069139756184;209.97069139756184;209.97193325338708;227.17193325338707;227.1731751092123;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
5;142;2;2;4;1;0;290;41;41;242.97069139756184;242.97069139756184;242.97193325338708;271.9719332533871;271.9731751092123;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
6;142;2;2;4;1;0;169;41;41;275.97069139756184;275.97069139756184;275.9719332533871;292.87193325338706;292.8731751092123;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
7;139;1000;4;9;2;3;11519;11;1685;289.0627012553903;289.0627012553903;289.066951647332;404.2556352297859;404.9067179953981;COMPLETED;0.6553331575538665;0.0;0.0;0.6553331575538665;0.0
8;142;2;2;4;1;0;368;41;41;308.97069139756184;308.97069139756184;308.9719332533871;345.7719332533871;345.77317510921233;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
9;142;2;2;5;1;0;153;41;41;341.97069139756184;341.97069139756184;341.9719332533871;357.2719332533871;357.27317510921233;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
10;142;2;2;4;1;0;138;41;41;374.97069139756184;374.97069139756184;374.9719332533871;388.7568396110936;388.75808146691884;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
11;206;2;2;5;1;3;16198;10;1997;377.5565367194289;377.5565367194289;377.5568396110936;1997.2664004266371;1997.3268878920771;COMPLETED;0.060790357104615715;0.060790357104615715;0.0;0.0;0.0
12;73;1000;4;10;2;2;37950;658;45;379.1113845118199;379.1113845118199;379.36563522978594;758.8636859585192;758.8810739255533;COMPLETED;0.2716386850002171;0.0;0.0;0.2716386850002171;0.0
13;142;2;2;4;1;0;297;41;41;407.97069139756184;407.97069139756184;407.9719332533871;437.67193325338707;437.6731751092123;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
14;142;2;2;4;1;0;441;41;41;440.97069139756184;440.97069139756184;440.9719332533871;485.0664004266374;485.06764228246266;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
15;114;2;2;4;1;0;155;41;41;458.46515857081215;458.46515857081215;458.4664004266374;473.9664004266374;473.96764228246263;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
16;142;2;2;4;1;0;491;41;41;473.97069139756184;473.97069139756184;473.9719332533871;523.0385999200537;523.0398417758789;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
17;114;2;2;4;1;0;158;41;41;491.46515857081215;491.46515857081215;491.4664004266374;507.23859992005373;507.239841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
18;142;2;2;5;1;0;165;41;41;506.97069139756184;506.97069139756184;506.9719332533871;523.4664004266374;523.4676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
19;114;2;2;4;1;0;269;41;41;524.4651585708122;524.4651585708122;524.4664004266374;551.3385999200538;551.339841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
20;142;2;2;4;1;0;341;41;41;539.9706913975618;539.9706913975618;539.9719332533871;574.0664004266374;574.0676422824627;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
21;114;2;2;4;1;0;314;41;41;557.4651585708122;557.4651585708122;557.4664004266374;588.8664004266374;588.8676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
22;142;2;2;5;1;0;172;41;41;572.9706913975618;572.9706913975618;572.9719332533871;590.1664004266373;590.1676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
23;114;2;2;4;1;0;259;41;41;590.4651585708122;590.4651585708122;590.4664004266374;616.3385999200538;616.339841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
24;142;2;2;4;1;0;260;41;41;605.9706913975618;605.9706913975618;605.9719332533871;631.9664004266374;631.9676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
25;68;1000;4;9;2;3;35429;5;1505;618.2417539621821;618.2417539621821;618.2436859585192;972.5252560447791;973.1067869422546;COMPLETED;0.5834628938126996;0.0;0.0;0.5834628938126996;0.0
26;114;2;2;4;1;0;154;41;41;623.4651585708122;623.4651585708122;623.4664004266374;638.8664004266374;638.8676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
27;142;2;2;4;1;0;141;41;41;638.9706913975618;638.9706913975618;638.9719332533871;653.0719332533871;653.0731751092123;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
28;114;2;2;4;1;0;284;41;41;656.4651585708122;656.4651585708122;656.4664004266374;684.8385999200538;684.839841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
29;381;2;2;4;1;0;360;41;41;665.1395502332191;665.1395502332191;665.1407920890443;701.133067093304;701.1343089491293;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
30;142;2;2;5;1;0;247;41;41;671.9706913975618;671.9706913975618;671.9719332533871;696.6664004266373;696.6676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
31;114;2;2;4;1;0;462;41;41;689.4651585708122;689.4651585708122;689.4664004266374;735.6407920890443;735.6420339448696;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
32;381;2;2;5;1;0;157;41;41;698.1395502332191;698.1395502332191;698.1407920890443;713.8330670933041;713.8343089491293;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
33;142;2;2;4;1;0;469;41;41;704.9706913975618;704.9706913975618;704.9719332533871;751.8407920890444;751.8420339448696;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
34;114;2;2;5;1;0;148;41;41;722.4651585708122;722.4651585708122;722.4664004266374;737.2407920890444;737.2420339448696;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
35;381;2;2;4;1;0;264;41;41;731.1395502332191;731.1395502332191;731.1407920890443;757.533067093304;757.5343089491292;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
36;142;2;2;5;1;0;283;41;41;737.9706913975618;737.9706913975618;737.9719332533871;766.2407920890444;766.2420339448696;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
37;114;2;2;4;1;0;171;41;41;755.4651585708122;755.4651585708122;755.4664004266374;772.5385999200538;772.539841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
38;381;2;2;4;1;0;159;41;41;764.1395502332191;764.1395502332191;764.1407920890443;780.033067093304;780.0343089491292;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
39;142;2;2;5;1;0;167;41;41;770.9706913975618;770.9706913975618;770.9719332533871;787.6664004266373;787.6676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
40;114;2;2;4;1;0;235;41;41;788.4651585708122;788.4651585708122;788.4664004266374;811.9385999200538;811.939841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
41;381;2;2;4;1;0;330;41;41;797.1395502332191;797.1395502332191;797.1407920890443;830.133067093304;830.1343089491293;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
42;142;2;2;5;1;0;324;41;41;803.9706913975618;803.9706913975618;803.9719332533871;836.3664004266374;836.3676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
43;114;2;2;4;1;0;168;41;41;821.4651585708122;821.4651585708122;821.4664004266374;838.2385999200537;838.239841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
44;381;2;2;4;1;0;150;41;41;830.1395502332191;830.1395502332191;830.1407920890443;845.1052665867204;845.1065084425456;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
45;142;2;2;5;1;0;167;41;41;836.9706913975618;836.9706913975618;836.9719332533871;853.6664004266373;853.6676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
46;114;2;2;4;1;0;318;41;41;854.4651585708122;854.4651585708122;854.4664004266374;886.2385999200537;886.239841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
47;381;2;2;4;1;0;137;41;41;863.1395502332191;863.1395502332191;863.1407920890443;876.8385999200538;876.839841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
48;154;1000;4;8;2;3;29931;42;373;864.5390272755471;864.5390272755471;864.5552560447791;1163.8561677236396;1164.0002946503894;COMPLETED;0.160355695981636;0.0;0.0;0.160355695981636;0.0
49;142;2;2;5;1;0;374;41;41;869.9706913975618;869.9706913975618;869.9719332533871;907.3664004266374;907.3676422824626;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
50;114;2;2;4;1;0;170;41;41;887.4651585708122;887.4651585708122;887.4664004266374;904.4385999200538;904.439841775879;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
51;381;2;2;4;1;0;163;41;41;896.1395502332191;896.1395502332191;896.1407920890443;912.4330670933041;912.4343089491293;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
52;142;2;2;4;1;0;171;41;41;902.9706913975618;902.9706913975618;902.9719332533871;920.0664004266374;920.0676422824627;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
53;21;1;1;2;1;1;1667;59;3452;910.9854134480711;910.9854134480711;910.9872005088928;1077.6872005088928;1077.7917587115462;COMPLETED;0.10634526347499043;0.10634526347499043;0.0;0.0;0.0
54;114;2;2;4;1;0;152;41;41;920.4651585708122;920.4651585708122;920.4664004266374;935.6407920890443;935.6420339448696;COMPLETED;0.0024837116505124508;0.0024837116505124508;0.0;0.0;0.0
